parameter,converged_cases,total_cases,dep_rate_min,dep_rate_max,dep_rate_variation,dep_rate_pct_change,uniformity_min,uniformity_max,uniformity_variation,deposition_sensitivity,uniformity_sensitivity
T_wafer,7,7,0.7770807552567637,510.8986071739437,510.1215264186869,275.6809473399516,1.297168974662951,10.361173876896764,9.064004902233814,6.89202368349879,0.22660012255584533
pressure_outlet,7,7,73.87206619476936,96.88634885274692,23.01428265797756,27.45480178491829,0.22266321850059556,1.5899901529917377,1.367326934491142,0.6863700446229575,0.034183173362278566
T_wall,7,7,73.8770782559787,75.73638962324681,1.8593113672681056,2.4798616809490843,1.3461431759121698,1.5890880424665064,0.24294486655433656,0.11451125997323712,0.01121833648500907
inlet_sih4_fraction,7,7,72.92450341928533,74.79331535914943,1.868811939864102,2.5299953966023625,1.2604029058818915,1.8949161258725957,0.6345132199907042,0.06324988491505906,0.015862830499767604
T_inlet,7,7,73.65349601812608,73.92018645415612,0.2666904360300464,0.3614775586599692,1.5139012821259301,1.606773700794668,0.09287241866873797,0.016691757855769165,0.004288520509115253
inlet_velocity,7,7,73.645420325909,74.10960429945389,0.46418397354489116,0.6283406902625885,1.5022499807200405,1.6807216454599156,0.1784716647398752,0.015708517256564723,0.004461791618496882
inlet_h2_fraction,7,7,73.87206619476936,73.93652669935511,0.06446050458575314,0.08722173686166688,1.5899901529917377,1.60988570505622,0.019895552064482347,0.0021805434215416723,0.0004973888016120587
