parameter,converged_cases,total_cases,dep_rate_min,dep_rate_max,dep_rate_variation,dep_rate_pct_change,uniformity_min,uniformity_max,uniformity_variation,deposition_sensitivity,uniformity_sensitivity
T_wall,5,5,73.87111973890642,75.62183879135404,1.7507190524476215,2.3481286040454257,1.3779888068496127,1.5901577266432845,0.2121689197936718,0.18032423510553972,0.01629348499441146
T_inlet,5,5,73.75181523894562,73.92018645415612,0.1683712152104988,0.2280437684599717,1.5480412551714657,1.606773700794668,0.058732445623202345,0.017512591962502953,0.004510350631833103
