i,j,r,z,p,T,rho,mu,tc,cp,x_N2,x_SiH4,x_H2,omega_N2,omega_SiH4,omega_H2,D_eff_N2,D_eff_SiH4,D_eff_H2,vz,vr
0,0,0.002763157894736842,0.0033962264150943396,133.09947701051078,1000.0,0.000448677638932626,4.0030754421789784e-05,0.06709048308261131,1177.0897837153666,0.9883537467946089,0.010604076263410612,0.0010421769419805282,0.9877719954725748,0.012152889986541071,7.511454088412613e-05,0.11102349041289507,0.10365293130092111,0.41160673838850276,0.006336032148701433,0.0
0,1,0.002763157894736842,0.010188679245283019,133.09947701051078,973.7776061253091,0.00046088006184976857,3.9361069939884665e-05,0.06563498877149343,1172.2746670272224,0.9881397778032341,0.011031805651484457,0.0008284165452814385,0.9873005133186677,0.012639794423625967,5.9692257706301174e-05,0.1045126035856248,0.09909800666288379,0.39369875024508866,-0.7401619323916387,0.11650257899111063
0,2,0.002763157894736842,0.016981132075471698,133.09308355890548,947.1522367074675,0.00047383984746283373,3.867246994046676e-05,0.06417042033902982,1166.8662921877012,0.9881621118121793,0.011065057567693172,0.0007728306201276711,0.9872671381568627,0.012677178017512255,5.568382562490035e-05,0.0993939238557097,0.09457969603772794,0.3759219143183003,-1.5595621203804657,0.18886882883874487
0,3,0.002763157894736842,0.023773584905660377,133.08782023839996,920.2833721946032,0.0004876844391209616,3.7964034335715373e-05,0.06268713325630734,1161.4476052747611,0.9881623068616182,0.011121266388085839,0.0007164267502958573,0.987207578320465,0.012740804977716761,5.1616701818362725e-05,0.09434906836097937,0.09011101037403114,0.3583393429945631,-2.8501104723762944,0.23023041975380376
0,4,0.002763157894736842,0.030566037735849056,133.08246736203802,893.3283987372072,0.0005024074000552466,3.7239762973988846e-05,0.06119484193368423,1156.0419021664788,0.9881411975260316,0.011191399780770219,0.0006674026931982036,0.9871314808890957,0.012820437145508347,4.80819653959512e-05,0.08945997395262763,0.08572122083543449,0.3410652262776657,-4.385146297462897,0.24963561619438937
0,5,0.002763157894736842,0.03735849056603774,133.07642465709878,866.441025284723,0.0005179996582746046,3.650385103170145e-05,0.0597018881441191,1150.6683174433567,0.9881048324839922,0.01126804753812871,0.0006271199778791083,0.9870472074489118,0.012907614884332966,4.517766675516374e-05,0.08475618628244827,0.08143582622744744,0.32420057455764817,-6.005158058745326,0.2538596088710147
0,6,0.002763157894736842,0.04415094339622641,133.06951593056777,839.7664916649978,0.0005344474067392648,3.576052733121558e-05,0.05821616316356342,1145.3485548072013,0.9880574673903689,0.011346823105541623,0.000595709504089422,0.986959762604563,0.01299732428126221,4.29131141747127e-05,0.08025339575822496,0.07727650826573783,0.30783135771987014,-7.601552175397772,0.24780262794212954
0,7,0.002763157894736842,0.0509433962264151,133.06185238195943,813.4379978557573,0.000551732097530873,3.50139311441962e-05,0.056745019700227356,1140.106003788814,0.9880011588715738,0.011426080161091047,0.000572760967335008,0.9868710617814025,0.013087679604583615,4.1258614013900065e-05,0.07595950706860045,0.0732609646473234,0.2920277036531415,-9.103127966923685,0.23463426938695273
0,8,0.002763157894736842,0.05773584905660377,133.0537190602983,787.574235295392,0.0005698306542725562,3.42680160161683e-05,0.05529511424145976,1134.963449068364,0.9879366375446627,0.0115058696112698,0.0005574928440676288,0.986781110695863,0.013178731561342659,4.015774279427651e-05,0.07187708641064629,0.069402916591438,0.2768439715921824,-10.463255065797863,0.21626573600303414
0,9,0.002763157894736842,0.06452830188679246,133.04548720201845,762.2779682714414,0.000588715708043707,3.35264745759862e-05,0.05387230843220337,1129.9412927218518,0.9878641089026778,0.011586975532636901,0.0005489155646852545,0.9866890945042298,0.013271366382313939,3.9539113456272205e-05,0.06800517719230154,0.06571228730044373,0.2623194890913443,-11.650453085527886,0.19391993476801897
