iteration,mass_residual
0,0.6593452849178252
50,0.09327135227739299
100,0.008432873979811075
150,0.0032961783095257916
200,0.003740978532303302
250,0.0009478466199631732
300,0.0005571747856612109
350,0.00011240679926413396
